test-profile,mar, 7 ago 2018 00:35:04 CLT
Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
"org.jivesoftware.openfire.handler.IQRegisterHandler.IQRegisterHandler()",0,0,0,2,0,0,0,0,0,"0,00%",3,"42,86%",0,2,48,1,2,8,0,1,3,7,0,0,8,8,0,4,0,0,0,n/a,6,28,13,1,"0,78%",2,"75,00%",0,0,24,1
"org.jivesoftware.openfire.handler.IQRegisterHandler.calculateSignature(Map<String, String>,String)",0,0,0,25,1,1,0,0,1,"13,04%",4,"12,12%",3,26,14.126,2,20,116,1,3,1,33,1,1,91,58,1,30,2,0,0,0,55,303,125,1,"3,69%",23,"10,00%",2,0,533,4
"org.jivesoftware.openfire.handler.IQRegisterHandler.canChangePassword()",0,0,0,2,0,0,0,0,0,"0,00%",0,"0,00%",0,3,84,1,1,8,0,2,0,4,0,0,8,8,0,4,0,0,0,0,6,27,12,1,"0,45%",1,"0,00%",0,0,24,2
"org.jivesoftware.openfire.handler.IQRegisterHandler.checkOAuthConsumer(String)",0,0,0,15,1,1,0,0,2,"15,79%",1,"2,94%",3,24,7.516,1,16,75,1,5,0,34,1,1,61,33,3,33,1,0,0,0,49,211,95,1,"3,80%",19,"3,03%",0,0,307,5
"org.jivesoftware.openfire.handler.IQRegisterHandler.createProbeResult()",0,0,0,106,1,1,0,0,0,"4,71%",7,"7,07%",4,51,92.006,1,81,414,1,5,4,99,0,0,284,80,1,92,0,0,0,0,146,948,386,1,"11,06%",85,"7,61%",0,0,1.795,5
"org.jivesoftware.openfire.handler.IQRegisterHandler.getConsumers()",0,0,0,21,0,0,0,0,2,"12,00%",0,"0,00%",3,26,9.224,1,22,89,1,5,0,34,1,1,70,32,3,34,0,0,0,0,57,244,110,1,"3,80%",25,"0,00%",0,0,350,5
"org.jivesoftware.openfire.handler.IQRegisterHandler.getFeatures()",0,0,0,4,1,1,0,0,0,"0,00%",1,"11,11%",0,4,194,1,5,13,0,1,0,9,0,0,13,10,0,8,0,0,0,0,11,46,21,1,"1,01%",5,"12,50%",0,0,43,1
"org.jivesoftware.openfire.handler.IQRegisterHandler.getInfo()",0,0,0,0,6,6,0,0,0,"0,00%",0,"0,00%",0,1,4,1,1,1,0,1,0,4,0,0,3,3,0,4,0,0,0,0,4,12,7,1,"0,45%",1,"0,00%",0,0,4,1
"org.jivesoftware.openfire.handler.IQRegisterHandler.handleIQ(IQ)",0,6,0,383,2,2,0,2,7,"20,83%",52,"12,01%",55,302,2.990.005,20,209,1.740,7,88,0,433,4,1,1.262,227,8,381,1,0,29,0,706,4.198,1.752,7,"48,38%",264,"13,65%",2,3,9.877,97
"org.jivesoftware.openfire.handler.IQRegisterHandler.initialize(XMPPServer)",0,0,0,9,38,38,0,0,0,"0,00%",113,"90,40%",0,6,822,1,9,47,0,1,0,125,0,0,29,18,0,12,1,0,0,0,17,98,41,1,"13,97%",9,"941,67%",0,1,120,1
"org.jivesoftware.openfire.handler.IQRegisterHandler.insertConsumer(String,String,int)",0,0,0,13,0,0,0,0,2,"5,56%",0,"0,00%",1,14,4.290,1,17,66,0,3,0,26,0,0,57,37,1,26,3,0,0,0,34,192,80,1,"2,91%",18,"0,00%",0,0,296,3
"org.jivesoftware.openfire.handler.IQRegisterHandler.isInbandRegEnabled()",0,0,0,2,3,3,0,0,0,"0,00%",0,"0,00%",0,3,84,1,1,8,0,2,0,4,0,0,8,8,0,4,0,0,0,0,6,27,12,1,"0,45%",1,"0,00%",0,0,24,2
"org.jivesoftware.openfire.handler.IQRegisterHandler.isRegisterOAuthEnabled()",0,0,0,0,6,6,0,0,0,"0,00%",0,"0,00%",0,1,12,1,1,1,0,1,0,3,0,0,4,4,0,3,0,0,0,0,4,15,8,1,"0,34%",1,"0,00%",0,0,8,1
"org.jivesoftware.openfire.handler.IQRegisterHandler.setCanChangePassword(boolean)",0,0,0,4,0,0,0,0,0,"25,00%",0,"0,00%",1,5,416,1,3,22,1,3,0,9,0,0,18,16,1,9,1,0,0,0,15,65,33,1,"1,01%",4,"0,00%",0,0,72,4
"org.jivesoftware.openfire.handler.IQRegisterHandler.setInbandRegEnabled(boolean)",0,0,0,4,0,0,0,0,0,"25,00%",0,"0,00%",1,5,416,1,3,22,1,3,0,9,0,0,18,16,1,9,1,0,0,0,15,65,33,1,"1,01%",4,"0,00%",0,0,72,4
"org.jivesoftware.openfire.handler.IQRegisterHandler.setRegisterOAuthEnabled(boolean)",0,0,0,2,0,0,0,0,0,"0,00%",0,"0,00%",0,3,214,1,3,17,0,1,0,5,0,0,15,13,0,5,1,0,0,0,10,52,24,1,"0,56%",3,"0,00%",0,0,55,2
"org.jivesoftware.openfire.handler.IQRegisterHandler.updateConsumerIdentities()",0,0,0,9,1,1,0,0,2,"7,14%",0,"0,00%",1,12,2.314,1,13,46,0,3,0,21,0,0,40,25,1,21,0,0,0,0,28,137,59,1,"2,35%",14,"0,00%",0,0,185,3

Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy*,DIT,Dpt,Dpt*,E,Inner,Inner,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level*,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
"org.jivesoftware.openfire.handler.IQRegisterHandler",12,25,204,"22,79%",4,1,15,47,62,423,423,20,699,3,6,894,7.311.514,0,3,"0,00%",30,"11,76%",0,0,3,5,428,895,581,2.020,372,12,3,693,15,0,16,1,0,"5,94",70,"0,65","28,18",264,10,5,12,156,479,0,"29,15%",4,17.249,101

